id,name,image,type,equipament,charge,FP,effect,locations,dlc
235,Death Flare,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-death-flare-elden-ring-wiki-480px.gif,Unique,Eclipse Shotel,No,16,"Set the lusterless sun ablaze with the Prince of Death's flames, inflicting the death ailment upon foes.Follow up with an additional input to bring down the armament, triggering an explosion.",Default skill on the Eclipse Shotel.,0
236,Bloodhound's Finesse,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-bloodhounds-finesse-elden-ring-wiki-480px.gif,Unique,Bloodhound's Fang,No,8 ( - 12),"Slash upwards with the Bloodhound's Fang, using the momentum of the strike to perform a backwards somersault and gain some distance from foes. Follow up with a strong attack to perform the Bloodhound's Step attack.",Default skill on the Bloodhound's Fang.,0
237,Magma Guillotine,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magma_guillotine_gif.gif,Unique,Magma Wyrm's Scalesword,??,20 ( - 10),"Grab the scalesword with both hands, as a wyrm would hold it in its mouth, and leap forwards, smashing it into the ground and triggering a blast of magma. Follow up with an additional input to perform a chopping attack.",Default skill on the Magma Wyrm's Scalesword.,0
238,Corpse Piler,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-corpse-piler-elden-ring-wiki-480px.gif,Unique,Rivers of Blood,No,17 ( - 9),"Forms a blade of cursed blood for repeated, interweaving successive attacks. Follow up with an additional input for further successive attacks.",Default skill on the Rivers of Blood.,0
239,Transient Moonlight,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-transient-moonlight-elden-ring-wiki-480px.gif,Unique,Moonveil,No,- (15 20),"Sheathe blade, holding it at the hip in a composed stance.Follow up with either a normal or a strong attack to draw the blade at great speed for an instant slash attack. Both attacks fire off a wave of light.",Default skill on the Moonveil.,0
240,Bloodblade Dance,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-bloodblade-dance-elden-ring-wiki-480px.gif,Unique,Eleonora's Poleblade,No,11,Leap at foe to perform a flurry of tornado-like attacks.Follow up with an additional input to perform an attack that ends in an evasive maneuver.,Default skill on the Eleonora's Poleblade.,0
241,Knowledge Above All,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-knowledge-above-all-elden-ring-wiki-480px.gif,Unique,Scepter of the All-Knowing,No,35,"Raise the scepter to manifest the realm of the All-Knowing. Enemy magic and holy damage negation will be reduced for all within the area, including the caster.",Default skill on the Scepter of the All-Knowing.,0
242,Devourer of Worlds,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-devourer-of-worlds-elden-ring-wiki-480px.gif,Unique,Devourer's Scepter,No,35,Charge the scepter with magic and strike it against the ground to steal the HP of all nearby enemies.,Default skill on the Devourer's Scepter.,0
243,Familial Rancor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-familial-rancor-elden-ring-wiki-480px.gif,Unique,Family Heads,No,25,Gently rattle the copper heads to summon vengeful spirits that chase down foes.The anguish of a spouse and children invites accursed wrath.,Default skill on the Family Heads.,0
244,Rosus's Summons,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-rosus-summons-elden-ring-wiki-480px.gif,Unique,Rosus' Axe,No,15,Raise the axe aloft to summon those lost in death.Three skeletons will appear at a distance and attack in tandem before vanishing.,Default skill on the Rosus' Axe.,0
245,Thunderstorm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-thunderstorm-elden-ring-wiki-480px.gif,Unique,Stormhawk Axe,No,19 ( - 12),Imbue the armament's wing-blade with lightning and swing it around to create a tempestuous lightning storm. Follow up with an additional input to perform up to two spinning attacks. The lightning will stay on the blade for a while.,Default skill on the Stormhawk Axe.,0
246,Sacred Phalanx,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-sacred-phalanx-elden-ring-wiki-480px.gif,Unique,Cleanrot Spear,No,12,Release the power of a hidden incantation to erect a palisade of golden spears frontwards.,"Drops from the spear wielding Cleanrot Knights just south of the Heart of Aeonia by Commander O'Neil (very low drop rate).
It can also drop from the ghostly Cleanrot Knights in the War-Dead Catacombs.
Drops from the spear wielding Cleanrot Knights in Elphael, Brace of the Haligtree. Closest is directly outside the ""Prayer Room"" Site of Grace (very low drop rate).",0
247,Great-Serpent Hunt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-great-serpent-hunt-elden-ring-wiki-480px.gif,Unique,Serpent-Hunter,No,30,"Perform a powerful forward lunge and follow up with an upward thrust via additional input. When fightning a great serpent, a long blade of light will appear, revealing the armament's true power.",Default skill on the Serpent-Hunter.,0
248,Angel's Wings,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-angels-wings-elden-ring-wiki-480px.gif,Unique,Winged Scythe,No,17,"Jump and imbue the wing-blade of the armament with light, then deliver a slashing attack on the enemy. The white wings impede recovery actions using a flask of tears.",Default skill on the Winged Scythe.,0
249,Storm Kick,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-storm-kick-elden-ring-wiki-480px.gif,Unique,Veteran's Prosthesis,No,10,"Thrust the prosthetic leg blade into the ground, creating a storm.Follow up with a strong attack to perform a lightning-infused jumping attack.",Default skill for the Veteran's Prosthesis.,0
250,Sorcery of the Crozier,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-sorcery-of-the-crozier-elden-ring-wiki-480px.gif,Unique,Watchdog's Staff,No,15,"Channel magic into the glintstone to activate an ancient sorcery, producing floating magic projectiles that chase enemies automatically.",Default skill on the Watchdog's Staff.,0
251,Erdtree Slam,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-erdtree-slam-elden-ring-wiki-480px.gif,Unique,Staff of the AvatarRotten Staff,No,19,Jump high up into the air and crash down on the ground ahead. The resulting pratfall sends golden shockwaves in all directions. This is the most powerful of all the Ground Slam skills.,Unique skill of Staff of the Avatar and Rotten Staff.,0
252,Gravity Bolt,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-gravity-bolt-elden-ring-wiki-480px.gif,Unique,Fallingstar Beast Jaw,No,13 (-13),"Imbue the jaw of fallingstar beast with gravitational lightning, sending a bolt crashing down a short distance away. Can be fired in rapid succession.",Default skill on the Fallingstar Beast Jaw.,0
253,Fires of Slumber,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-fires-of-slumber-elden-ring-wiki-480px.gif,Unique,St Trina's Torch,No,15,"Blow into the candlestick's flame, creating a stream of hazy purple fire to cover the ground ahead.The intoxicating flames inflict the sleep ailment upon foes.",Default skill on St Trina's Torch.,0
254,Golden Retaliation,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_retaliation_gif_elden_ring_wiki_guide.gif,Unique,Erdtree Greatshield,No,4,"Ready the shield to unleash its protective incantation.This will dispel sorceries and incantations, retaliating with golden power.",Unique skill of Erdtree Greatshield.,0
255,Contagious Fury,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-contagious-fury-elden-ring-wiki-480px.gif,Unique,Jellyfish Shield,No,9,Incite the jellyfish's wrath and allow its fury to flow through you.Raises attack power for a certain duration.,Default skill on the Jellyfish Shield.,0
256,Ordovis's Vortex,http://eldenring.wiki.fextralife.com/file/Elden-Ring/skill-ordovis-vortex-elden-ring-wiki-480px.gif,Unique,Ordovis's Greatsword,Yes,15,"Channel the power of the crucible to spin the entire sword in midair, building momentum before slamming the blade down onto the ground.This skill can be charged to increase its power.",Default skill on the Ordovis's Greatsword.,0
