id,name,image,region,items,npcs,creatures,bosses,description,dlc
144,Raya Lucaria Academy,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raya-lucaria-academy-legacy-dungeon-location-elden-ring-wiki-guide.jpg,Legacy Dungeons,"['Radagon Icon', 'Longtail Cat Talisman', 'Graven-School Talisman', 'Meteor Bolts', 'Crystal Dart', 'Magic Grease', ""Perfumer's Bolt"", 'Golden Rune (2)', 'Golden Rune (3)', 'Golden Rune (4)', 'Grace Mimic', 'Spellproof Dried Liver', 'Rune Arc', ""Carian Knight's Shield"", ""Azur's Glintstone Staff"", 'Full Moon Crossbow', 'Carian Knight Set', 'Carian Knight Helm', 'Carian Knight Armor', 'Carian Knight Gauntlets', 'Carian Knight Greaves', 'Glintstone Scarab', 'Karolos Glintstone Crown', 'Olivinus Glintstone Crown', 'Twinsage Glintstone Crown', 'Lazuli Glintstone Crown', 'Gravity Well', ""Thops's Barrier"", 'Shattering Crystal', 'Comet', 'Herba', 'Crab Eggs', 'Rowa Fruit', 'Ruin Fragment', ""Trina's Lily"", 'Crystal Bud', 'Golden Seed', 'Living Jar Shard', 'Glintstone Firefly', 'Smithing Stone (2)', 'Smithing Stone (3)', 'Smithing Stone (4)', 'Smithing Stone (5)', 'Somber Smithing Stone (3)', 'Somber Smithing Stone (4)', 'Marionette Soldier Ashes', 'Avionette Soldier Ashes', 'Ash of War: Charge Forth', 'Ash of War: Spectral Lance', 'Ritual Pot', 'Cracked Pot', 'Grace Mimic', 'Memory Stone', 'Stonesword Key', 'Conspectus Scroll', 'Imbued Sword Key', ""Thops's Bell Bearing"", 'Glintstone Whetblade', 'Academy Glintstone Key', 'Silver-Pickled Fowl Foot', 'Great Rune of the Unborn', 'Furlcalling Finger Remedy', ""Glintstone Craftsman's Cookbook [5]"", 'Remembrance of the Full Moon Queen']","['Thops', 'Bloody Finger Hunter Yura', 'Sorceress Sellen', 'Witch-Hunter Jerren', 'Boc', 'Rennala']","['Abductor Virgin', 'Alabaster Lord', 'Avionette Soldier', 'Crab', 'Flame Chariot', 'Giant Crab', 'Glintstone Sorcerer', 'High Page', 'Land Squirt', 'Lazuli Sorcerer', 'Lesser Mad Pumpkin Head', 'Living Jar', 'Putrid Corpse', 'Marionette Soldier', 'Moongrum, Carian Knight', 'Noble Sorcerer', 'Raya Lucaria Foot Soldier', 'Raya Lucaria Soldier', 'Rotten Stray', 'Teardrop Scarab', 'Wandering Nobles']","['Red Wolf of Radagon', 'Rennala, Queen of the Full Moon']","A towering ivory tower where scholars come to study the art of sorcery. The gates have been sealed to prevent trespassers from entering the institute. It is heavily guarded by sorcerers, wardens, and reanimated beings imbued with magical properties.",0
145,Raya Lucaria Crystal Tunnel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raya_lucaria_crystal_tunnel_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Cracked Crystal', 'Glintstone Scrap', 'Golden Rune (3)', 'Large Glintstone Scrap', 'Smithing Stone (1)', 'Smithing Stone (2)', 'Smithing Stone (3)', 'Somber Smithing Stone (1)', 'Somber Smithing Stone (2)', 'Somber Smithing Stone (3)', 'Crystal Knife', 'Shatter Earth', ""Smithing-Stone Miner's Bell Bearing (1)""]",,"['Glintstone Miner', 'Marionette Soldier']",['Crystalian (Ringblade)'],One of the vast networks of tunnels used prominently for the academy's crystal mining operation.,0
146,Renna's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rennas_rise_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,['Snow Witch Set'],,,,"A Tower of the Three Sisters, belonging to Renna. It houses Ranni's Snow Witch Armor Set.",0
147,Revenger's Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/revengers_shack_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Raw Meat Dumpling', 'Raw Meat Dumpling', 'Root Resin', ""Banished Knight's Halberd"", 'Furlcalling Finger Remedy', 'Shabriri Grape']",['Edgar the Revenger'],['Edgar the Revenger'],,An isolated shack north of the Minor Erdtree. Bodies litter the ground inside the shack.,0
148,Ringleader's Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cuckoos_evergaol_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Smithing Stone (7)', 'Smithing Stone (8)', 'Black Knife Tiche']",,"['Bear', 'Deer', 'Crystalian', 'Lesser Red Wolf of Radagon', 'Turtle']","['Alecto, Black Knife Ringleader']","Found on the Moonlight Altar. Inside awaits a notorious assassin, imprisoned for the act of slaying a demigod.",0
149,Road's End Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/road's_end_catacombs_location_elden_ring_wiki_guide_300x.jpg,Liurnia of the Lakes,"['Root Resin', 'Grave Violet', 'Grave Glovewort (2)', 'Grave Glovewort (3)', 'Ghost Glovewort (2)', 'Rune Arc', ""Watchdog's Staff"", 'Raya Lucaria Soldier Ashes', 'Glintstone Sorcerer Ashes']",,['Fanged Imp'],['Spirit-Caller Snail'],Catacombs at the end of the world...,0
150,Rose Church,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rose_church_location_elden_ring_wiki_guide_300x.jpg,Liurnia of the Lakes,"['Bloodrose', 'Festering Bloody Finger', ""Lord of Blood's Favor"", ""Nomadic Warrior's Cookbook (12)"", ""Pureblood Knight's Medal""]",['White Mask Varre'],"['Albinauric', 'Lesser Sanguine Noble']",,"The ruins of a former church aptly named Rose Church, for its walls are now festering with accursed blood pustules and overgrown with bloodroses.",0
151,Royal Grave Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_grave_evergaol_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,['Meteorite'],,,['Onyx Lord'],An evergaol constructed for the Carian Royal family in the plains east of the royal estate.,0
152,Ruin-Strewn Precipice,http://eldenring.wiki.fextralife.com/file/Elden-Ring/precipice_locations_elden_ring_wiki_300px.jpg,Liurnia of the Lakes,"['Kukri', 'Cracked Crystal', 'Golden Rune [5]', 'Golden Rune [6]', 'Rune Arc', 'Lightning Grease', 'Soft Cotton', 'Smithing Stone [3]', 'Smithing Stone [4]', 'Smithing Stone [5]', 'Somber Smithing Stone [4]', ""Magma Wyrm's Scalesword"", ""Serpent-God's Curved Sword"", 'Lost Ashes of War']",,"['Miner', 'Land Octopus', 'Giant Land Octopus', 'Vulgar Militiamen', 'Giant Bat', 'Chanting Winged Dame']",['Magma Wyrm Makar'],A steep precipice with abundant caves in the insides all the way through,0
153,Seluvis's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/seluviss_rise_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"[""Preceptor's Set"", 'Memory Stone', 'Finger Maiden Therolina Puppet', 'Jarwight Puppet', ""Seluvis's Potion"", ""Seluvis's Bell Bearing"", ""Seluvis's Introduction""]",['Preceptor Seluvis'],['Wolf'],,A tower bequeathed unto Preceptor Seluvis. Serves as his personal study as he delves into the sorcerous arts.,0
154,Slumbering Wolf's Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/slumbering-wolfs-shack-location-elden-ring-wiki-guide.jpg,Liurnia of the Lakes,"[""Trina's Lily"", 'Rune Arc']",['Latenna'],,,"A small shack nestled at the side of a cliff, only accessible through a long winding cave system. A woman and her wolf companion rest here.",0
155,Stillwater Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/stillwater_cave_location_elden_ring_wiki_guide_300px.jpg,Liurnia of the Lakes,"['Golden Rune (5)', 'Golden Rune (6)', 'Cave Moss', 'Budding Cave Moss', 'Crystal Cave Moss', 'Toxic Mushroom', 'Sage Hood', 'Sage Robe', 'Sage Trousers', 'Serpent Arrow', 'Winged Sword Insignia']",,"['Giant Bat', 'Giant Miranda Sprout', 'Miranda Sprout', 'Servant of Rot']",['Cleanrot Knight'],"A dark and murky cave beset by a poisonous miasma. Home to servants of rot, relishing in the presence of the giant poisonblooms endemic to the cave.",0
156,Temple Quarter,http://eldenring.wiki.fextralife.com/file/Elden-Ring/temple-quarter-location-elden-ring-wiki-guide-300px-min-min-min-min.jpg,Liurnia of the Lakes,"['Bloodrose', 'Icerind Hatchet']",['NPCs'],['Albinauric'],,"Ruined by the breaking, the Temple Quarter is now overrun with dangerous creatures, ready to attack any who come near",0
157,Testu's Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/testus_rise_locations_elden_ring_wiki_guide.jpg,Liurnia of the Lakes,"['Bloodrose', 'Mushroom', 'Rowa Fruit', 'Smithing Stone [2]', 'Memory Stone']",,"['Skeleton', 'Turtle']",,An observation tower found in the middle of a lone isle in Liurnia. The entrance is sealed by impish magic and presents a challenge to would-be visitors.,0
158,The Four Belfries,http://eldenring.wiki.fextralife.com/file/Elden-Ring/d0d26f10-73a9-4213-9838-bce38e7ec370.png,Liurnia of the Lakes,['Imbued Sword Key'],,['Troll Spirit Knight'],,"As its name suggests, The Four Belfries is a hill with four large bell towers overlooking Liurnia from the west. Each belfry hosts a waygate that transports travellers to various locations.",0
159,Village of the Albinaurics,http://eldenring.wiki.fextralife.com/file/Elden-Ring/village_of_the_albinaurics_1.jpg,Liurnia of the Lakes,"['Mushroom', 'Rowa Fruit', 'Rune Arc', 'Erdleaf Flower', 'Albinauric Bloodclot', 'Budding Cave Moss', 'Ivory Sickle', 'Crystal Sword', 'Stormhawk Axe', 'Crucible Knot Talisman', 'Larval Tear', 'Haligtree Secret Medallion (Right)']","['Albus', 'Nepheli Loux']","['Depraved Perfumer', 'First-Generation Albinauric', 'Rotten Stray']",['Omenkiller'],"The cursemongers have destroyed the home of the old Albinaurics, but perhaps hope is not lost for them to find their promised land.",0
160,Caelem Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/caelem_ruins_locations_elden_ring_wiki_guide.jpg,Caelid,"['Smoldering Butterfly', 'Visage Shield']",,"['Flame Chariot', 'Putrid Corpse']",['Mad Pumpkin Head (Duo)'],A set of perpetually burning ruins in western Caelid. The Caelid Highway cuts through these ruins which are heavily guarded by mobile flamethrowers and swarming with burning reanimated corpses.,0
161,Caelid Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/caelid-catacombs-location-elden-ring-wiki-guide-300px-min-min-min.jpeg,Caelid,"['Grave Violet', 'Root Resin', 'Ghost Glovewort [3]', 'Ghost Glovewort [4]', 'Grave Glovewort [3]', 'Grave Glovewort [4]', 'Grave Glovewort [5]', 'Miranda Sprout Ashes ', 'Kindred of Rot Ashes']",,"['Miranda Sprout', 'Giant Miranda Sprout', 'Skeletons']",['Cemetery Shade'],A labyrinth of Scarlet Rot-soaked floors and tunnels.,0
162,Caelid Waypoint Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/caelid-waypoint-ruins-location-elden-ring-wiki-guide.jpg,Caelid,"['Great Dragonfly Head', 'Meteoric Ore Blade', 'Rot Grease']",,"['Lesser Kindred of Rot (Pests)', 'Rotten Stray', 'Servant of Rot']",,"A set of ruins found in southwest Caelid, along the highway. Long abandoned, the ruins have become home to all manner of creatures that revel in the decay and putrefaction brought on by the scarlet rot.",0
163,Cathedral of Dragon Communion (Caelid),http://eldenring.wiki.fextralife.com/file/Elden-Ring/cathedral_of_dragon_communion_locations_elden_ring_wiki_guide.jpg,Caelid,"['Faded Erdleaf Flower', ""Miquella's Lily"", 'Incantations', ""Ancient Dragon Apostle's Cookbook [3]""]",,"['Banished Knight', 'Guillemot']",['Decaying Ekzykes'],"The Cathedral of Dragon Communion has long been destroyed, but those who seek to commune with draconic power may yet access its power",0
164,Church of the Plague,http://eldenring.wiki.fextralife.com/file/Elden-Ring/church-of-the-plague-location-elden-ring-wiki-guide.jpg,Caelid,"['Sacramental Bud', 'Smoldering Butterfly', 'Sacred Tear']",['Millicent'],['Lesser Kindred of Rot (Pests)'],,"A dilapidated church found in the cliffs east of Sellia, Town of Sorcery.",0
165,Divine Tower of Caelid,http://eldenring.wiki.fextralife.com/file/Elden-Ring/divinetowerofcaelid.png,Caelid,"['Golden Rune (12)', ""Numen's Rune"", 'Rune Arc', 'Godskin Apostle Bracelets', 'Godskin Apostle Hood', 'Godskin Apostle Robe', 'Godskin Apostle Trousers', ""Godslayer's Greatsword"", 'Stonesword Key']",,"['Blackflame Monk', 'Radahn Soldier']",['Godskin Apostle'],"A massive tower found in central Dragonbarrow, north of Caelid. The sides of the tower are crumbling from the massive overgrowth protruding from the plateau.",0
166,Forsaken Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/forsaken-ruins-location-elden-ring-wiki-guide.jpg,Caelid,"['Faded Erdleaf Flower', ""Trina's Lily"", 'Golden Rune [5]', 'Smithing Stone [4]', 'Sword of St. Trina']",['NPCs'],['Giant Crow'],,The Forsaken Ruins consists of a group of broken buildings and abandoned campsites. It is located in Caelid and is guarded by a Giant Crow.,0
167,Fort Gael,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fort-gael-location-elden-ring-wiki-guide.jpg,Caelid,"['Mushroom', 'Faded Erdleaf Flower', 'Rune Arc', 'Warming Stone', 'Katar', 'Starscourge Heirloom', 'Partisan', 'Greatbow', 'Radahn Soldier Greaves', 'Flame, Grant Me Strength', ""Ash of War: Lion's Claw""]",,"['Flame Chariot', 'Soldier', 'Redmane Knight', 'Radahn Soldier']",['Lion Guardian'],"A ruined fort in a ruined land, Fort Gael looms above the surrounding landscape, a vicious roar can be heard within.",0
168,Gael Tunnel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gael_tunnel_locations_elden_ring_wiki_guide.jpg,Caelid,"['Cracked Crystal', 'Golden Rune [5]', 'Silver Firefly', 'Large Glintstone Scrap', 'Smithing Stone [4]', 'Somber Smithing Stone [2]', 'Somber Smithing Stone [4]', 'Cross-Naginata', 'Gold-Pickled Fowl Foot', 'Grace Mimic', 'Moonveil', 'Dragon Heart']",['Alexander'],"['Miner', 'Radahn Soldier', 'Land Octopus', 'Giant Land Octopus']",['Magma Wyrm'],"A set of tunnels found on the western edge of Caelid, along the border to Limgrave.",0
169,Gaol Cave,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaol-cave-location-elden-ring-wiki-guide.jpg,Caelid,"['Rune Arc', 'Turtle Neck Meat', 'Old Fang', 'Rainbow Stone', 'Glowstone', 'Golden Rune [2]', 'Golden Rune [3]', 'Golden Rune [4]', 'Golden Rune [5]', 'Somber Smithing Stone [5]', 'Regalia Of Eochaid', 'Pillory Shield', 'Wakizashi', 'Putrid Corpse Ashes', 'Stonesword Key']",,"['Vulgar Militiamen', 'Giant Rat', 'Putrid Corpse']",['Frenzied Duelist'],Found at the west of Caelid,0
170,Gowry's Shack,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gowrys-shack-location-elden-ring-wiki-guide.jpg,Caelid,"['Faded Erdleaf Flower', ""Night Maiden's Mist"", 'Glintstone Stars', 'Night Shard', 'Pest Threads', ""Sellia's Secret""]","['Gowry', 'Millicent']",,,"A lone shack found below the eastern hills near Sellia, Town of Sorcery.",0
171,Minor Erdtree (Caelid),http://eldenring.wiki.fextralife.com/file/Elden-Ring/minor-erdtree-caelid-location-elden-ring-wiki-guide-300px-min.jpeg,Caelid,"['Tarnished Golden Sunflower', 'Cracked Pot', 'Greenburst Crystal Tear', 'Flame-Shrouding Cracked Tear']",,['Guardian'],['Erdtree Avatar'],"The Minor Erdtree of Caelid, found in the northwest near the border to Limgrave.",0
172,Minor Erdtree Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/minor-erdtree-catacomb-caelid-location-elden-ring-wiki-guide-300px.jpeg,Caelid,"['Aeonian Butterfly', 'Golden Rune (4)', 'Grave Violet', 'Ghost Glovewort (4)', 'Grave Glovewort (3)', 'Grave Glovewort (4)', 'Grave Glovewort (5)', 'Imp Head (Wolf)', 'Mad Pumpkin Head Ashes']",,"['Crab', 'Imp', 'Skeletal Slime']",['Erdtree Burial Watchdog'],Catacombs found deep beneath the Minor Erdtree in Caelid.,0
173,Redmane Castle,http://eldenring.wiki.fextralife.com/file/Elden-Ring/castle-redmane-small.jpg,Caelid,"['Old Fang', ""Miquella's Lily"", 'Arteria Leaf', 'Beast Blood', 'Golden Rune [6]', 'Smoldering Butterfly', 'Smithing Stone [3]', 'Smithing Stone [4]', 'Smithing Stone [5]', 'Smithing Stone [6]', 'Somber Smithing Stone [4]', 'Somber Smithing Stone [5]', 'Flamberge', 'Ruins Greatsword ', 'Polite Bow Gesture', ""Armorer's Cookbook [4]"", ""Armorer's Cookbook [5]"", 'Red-Hot Whetblade', 'Ash of War: Flaming Strike']","['Blaidd', 'Alexander', 'Witch-Hunter Jerren']","['Giant Bat', 'Commoner', 'Rotten Stray', 'Skeletal Slime', 'Redmane Knight', 'Radahn Soldier']","['Lion Misbegotten Warrior', 'Lion Guardian', 'Starscourge Radahn']",A small castle that is heavily guarded at the castle's outskirts by Radahn Knights and Soldiers. The Redmane Castle serves as the gathering point for warriors alike who are wanting to participate in the Radahn Festival.,0
174,Sellia Crystal Tunnel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sellia-crystal-tunnel-caelid-location-elden-ring-wiki-guide-300px-min.jpeg,Caelid,"['Dragonwound Grease', 'Golden Rune (4)', 'Gravity Stone Fan', 'Gravity Stone Chunk', 'Cracked Crystal', 'Rot Grease', 'Rune Arc', 'Smithing Stone (5)', 'Smithing Stone (7)', 'Somber Smithing Stone (4)', 'Somber Smithing Stone (6)', ""Faithful's Canvas Talisman"", 'Rock Blaster', ""Somberstone Miner's Bell Bearing (1)""]",,"['Glintstone Miner', 'Lesser Kindred of Rot (Pests)']",['Fallingstar Beast'],The crystal mining operation of Sellia is overseen by grotesque and aggressive Kindred of Rot.,0
175,Sellia Gateway,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sellia-gateway-caelid-location-elden-ring-wiki-guide-300px.jpeg,Caelid,"['Faded Erdleaf Flower ', 'Glass Shard', 'Golden Rune (2)']",,"['Giant Dog', 'Marionette Soldier', 'Lazuli Sorcerer', 'Twinsage Sorcerer']",,"The gateway leading to Sellia, Town of Socrcery.",0
176,"Sellia, Town of Sorcery",http://eldenring.wiki.fextralife.com/file/Elden-Ring/sellia-town-of-sorcery-location-elden-ring-wiki-guide.jpg,Caelid,"['Aeonian Butterfly', 'Faded Erdleaf Flower', 'Glintstone Firefly', ""Miquella's Lily"", 'Smoldering Butterfly', 'Toxic Mushroom', 'Golden Seed', 'Cerulean Tear Scarab', ""Lusat's Glintstone Staff"", 'Night Comet', 'Nox Flowing Sword', 'Poison Grease', 'Spelldrake Talisman +1', 'Staff of Loss', 'Ash of War: Double Slash', 'Imbued Sword Key', 'Redmane Painting', 'Rotten Stray Ashes', 'Stonesword Key']",,"['Avionette Soldier', 'Marionette Soldier', 'Noble Sorcerer', 'Glintstone Sorcerer', 'Lazuli Sorcerer', 'Rotten Stray', 'Twinsage Sorcerer']",['Nox Swordstress & Nox Priest'],"A once-great town renowned for its study of the sorcerous arts. Now lying in ruin, the ghosts of its former scholars still roam the streets.",0
177,Shack of the Rotting,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shack-of-the-rotting-caelid-location-elden-ring-wiki-guide-300px-min.jpeg,Caelid,['Preserving Boluses'],,"['Skeletons', 'Skeletal Slime']",,An old worn-down shack overlooking a long stretch of cliffs in western Caelid.,0
178,Smoldering Church,http://eldenring.wiki.fextralife.com/file/Elden-Ring/smoldering-church-locations-elden-ring-wiki-guide-300px.jpg,Caelid,"['Sacred Scorpion Charm', 'Furlcalling Finger Remedy', ""Missionary's Cookbook (3)"", ""Nomadic Warrior's Cookbook (14)""]",,"['Anastasia, Tarnished-Eater']",,"A church in northwestern Caelid, near the border with Limgrave",0
179,Street of Sages Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/street-of-sages-ruins-caelid-location-elden-ring-wiki-guide-300px-min.jpeg,Caelid,"['Aeonian Butterfly', 'Toxic Mushroom', 'Golden Rune (4)', 'Perfume Bottle', 'Rock Sling', 'Meteorite Staff', ""Perfumer Traveler's Set"", 'Perfume Bottle']",['Millicent'],"['Miranda Sprout', 'Servant of Rot']",,"The sages of Caelid are no more, and their former district is now the dwelling of perfumers and their poisonous flowers",0
180,Swamp Lookout Tower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/swamp-lookout-tower-location-elden-ring-wiki-guide-300px.jpeg,Caelid,['Eternal Darkness'],,['Lesser Bloodhound Knight'],,"A long-abandoned lookout tower, that now only oversees the poisonous swamp that plagues Caelid",0
181,Swamp of Aeonia,http://eldenring.wiki.fextralife.com/file/Elden-Ring/swamp_of_aeonia_locations_elden_ring_wiki_guide.jpg,Caelid,"['Aeonian Butterfly', 'Glintstone Firefly', 'Somber Smithing Stone (4)', 'Somber Smithing Stone (5)', ""Commander's Standard"", 'Meteorite Staff', 'Poison Armament', 'Rock Sling', ""Perfumer Traveler's Set"", 'Ash of War: Poisonous Mist', 'Ash of War: Sacred Ring of Light', 'Perfume Bottle', 'Unalloyed Gold Needle']","['NPCs', 'Millicent']","['Abnormal Stone Cluster', 'Avionette Soldier', 'Giant Dragonfly', 'Giant Land Squirt', 'Lesser Cleanrot Knight', 'Marionette Soldier', 'Miranda Sprout', 'Rotten Stray', 'School of Graven Mages', 'Servant of Rot']","[""Commander O'Neil""]","Swamp of Aeonia Map & FragmentsSites of Grace & Sub-LocationsAll NPCs & MerchantsAll Items, Equipment & MagicAll Enemies & Bosses",0
182,Wailing Dunes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/view-wailing-dunes-01-elden-ring-wiki-600px.jpg,Caelid,"[""Radahn's Spear""]","['Blaidd', 'Iron Fist Alexander']",,['Starscourge Radahn'],"Wailing Dunes Map & FragmentsSites of Grace & Sub-LocationsAll NPCs & MerchantsAll Items, Equipment & MagicAll Enemies & Bosses",0
183,War-Dead Catacombs,http://eldenring.wiki.fextralife.com/file/Elden-Ring/war-dead-catacombs-location-elden-ring-wiki-guide.jpg,Caelid,"['Grave Violet', ""Trina's Lily"", 'Ghost Glovewort [4]', 'Golden Seed', 'Grave Glovewort [6]', 'Collapsing Stars', 'Golden Rune [6]', 'Magic Grease', 'Silver-Pickled Fowl Foot', 'Radahn Soldier Ashes', 'Redmane Knight Ogha Ashes']",,"['Lesser Cleanrot Knight', 'Radahn Soldier', 'Redmane Knight', 'Imp']",['Putrid Tree Spirit'],"Tombs for those who have perished in battle, endlessly clashing even as spirits.",0
184,Altus Tunnel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/altus_tunnel_locations_elden_ring_wiki_guide_300px.jpg,Altus Plateau,"['Rune Arc', 'Cracked Crystal', 'Arteria Leaf', 'Golden Rune (7)', 'Smithing Stone (5)', 'Somber Smithing Stone (5)', ""Somberstone Miner's Bell Bearing (2)"", 'Crystal Dart', 'Arsenal Charm +1']",,"['Avionette Soldier', 'Crystal Snail', 'Glintstone Miner', 'Malformed Star']","['Crystalian (Spear)', 'Crystalian (Ringblade)']",The Altus tunnels were once used to supply the lands with quality crystals,0
185,"Dominula, Windmill Village",http://eldenring.wiki.fextralife.com/file/Elden-Ring/windmill_village_locations_elden_ring_wiki_300px.jpg,Altus Plateau,"['Human Bone Shard', 'Stormhawk Feather', 'Gold firefly', 'Holyproof Dried Liver', 'Lightning Grease', 'Golden Seed', 'Rune Arc', 'Festive Hood', 'Festive Garb', 'Festive Garb (Altered)', 'Blue Festive Hood', 'Blue Festive Garb', ""Celebrant's Skull"", ""Celebrant's Cleaver"", ""Celebrant's Sickle"", ""Celebrant's Rib-Rake"", 'Godskin Peeler', 'Scouring Black Flame', ""Fire's Deadly Sin""]",['Millicent'],"['Celebrant', 'Rotten Stray']",['Godskin Apostle'],"Located in northern Altus Plateau, many have heard ominous laughter from the locals, who dance as a part of their festival.",0
186,East Windmill Pasture,http://eldenring.wiki.fextralife.com/file/Elden-Ring/east-windmill-pasture-location_elden_ring_wiki_guide_300px-min-min.jpeg,Altus Plateau,"[""Noble's Set"", 'Navy Hood', ""Noble's Traveling Garb"", ""Noble's Gloves"", ""Noble's Trousers"", 'Twinned Knight Swords']",,"['Celebrant', 'Putrid Corpse']",,"East Pasture Outskirsts of Windmill Village. True to its name, it can be identified by the still-working windmill placed in the center of the pasture.",0
187,Golden Lineage Evergaol,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden-lineage-evergaol-location-elden-ring-wiki-guide-300px-min-min.jpeg,Altus Plateau,['Godfrey Icon'],['Godefroy the Grafted'],['Abnormal Stone Cluster'],['Godefroy the Grafted'],"Found near the Grand Lift of Dectus, this prison contains a member of the Golden Lineage, imprisoned for the grotesque act of Grafting.",0
188,Grand Lift of Dectus,http://eldenring.wiki.fextralife.com/file/Elden-Ring/grand_lift_of_dectus_locations_elden_ring_wiki_guide.jpg,Altus Plateau,"['Great Mace', 'Stonesword Key']",,,,"A massive lift platform found between Liurnia and the Altus Plateau. The mechanism that operates the lift is barred by four Guardian Statues, requiring the brandishing of a special artifact for them to release their hold.",0
189,Highway Lookout Tower Altus Plateau,http://eldenring.wiki.fextralife.com/file/Elden-Ring/view-highway-lookout-tower-altus-plateau-01-elden-ring-wiki-600px.jpg,Altus Plateau,"['Hefty Beast Bone', 'Greatbow']",,"['Leyndell Knight', 'Soldier']",,"A lookout tower in Altus Plateau, overlooking the main road leading up to the northwestern entrance of the Capital Outskirts.",0
190,Lux Ruins,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lux_ruins1200x.png,Altus Plateau,"['Rainbow Stone', 'String', 'Glowstone', 'Rickety Shield', 'Falchion', 'Ash of War: Shield Crash', 'Ritual Sword Talisman']",,"['Demi-Human', 'Lesser Demi-Human Chief']",['Demi-Human Queen Gilika'],"Long forgotten ruins among golden trees, swarmed with demi-humans protecting the underground chamber.",0
191,Minor Erdtree (Altus Plateau),http://eldenring.wiki.fextralife.com/file/Elden-Ring/minor-erdtree-altus-plateau-location-elden-ring-wiki-guide-300p.jpeg,Altus Plateau,"['Tarnished Golden Sunflower', 'Golden Seed', 'Crimsonspill Crystal Tear', 'Speckled Hardtear']",,['Guardian'],['Wormface'],A Minor Erdtree found in central Altus Plateau. An air of perpetual gloom permeates the area.,0
192,Mirage Rise,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mimrage-rise-location_elden_ring_wiki_guide_300px-min-min.jpeg,Altus Plateau,"['Slumbering Egg', 'Altus Bloom', 'Unseen Blade', 'Unseen Form', 'Mirage Riddle']",,"['Fanged Imp', 'Springhare']",,An area with a mystic glow. Adventurers who solve the riddle and touch the Phantom Crests found across the fields will unveil the Mirage Rise and reap its rewards.,0
193,Old Altus Tunnel,http://eldenring.wiki.fextralife.com/file/Elden-Ring/old_altus_tunnel_locations_elden_ring_wiki_guide_300px.jpg,Altus Plateau,"['Cracked Crystal', 'Golden Rune [6]', 'Stanching Boluses', 'Smithing Stone [5]', 'Somber Smithing Stone [4]', 'Somber Smithing Stone [5]', 'Somber Smithing Stone [6]', 'Boltdrake Talisman', 'Great Club', ""Troll's Hammer""]",,"['Leyndell Knight', 'Miner', 'Rotten Stray', 'Wandering Nobles']",['Stonedigger Troll'],"An old mining site, still active to this day. Its tunnels echo with the grunts and groans of the commoners, tirelessly slaving away, grinding at the rich reservoir of crystals deep within.",0
